Age,Income,Category,Number_of_Purchases,Target,Continuous_Target
35,46247.31,A,43,1,0.02
24,32135.06,D,26,0,0.42
36,115274.69,B,41,0,0.89
22,106329.97,C,14,1,0.56
21,79113.65,A,12,1,0.24
43,99262.06,A,2,0,0.19
26,146021.14,D,36,1,0.02
39,131538.37,A,46,1,0.02
68,83259.85,B,1,0,0.11
66,47277.61,C,23,0,0.11
46,54892.27,C,12,1,0.11
53,92428.83,B,31,1,0.62
29,55910.08,C,42,0,0.1
31,36072.02,C,32,0,0.58
29,94484.68,A,48,0,0.59
36,121051.07,A,9,0,0.13
58,133279.44,A,22,0,0.55
42,109093.22,C,31,1,0.24
39,26139.99,A,10,1,0.6
66,116574.35,A,25,1,0.27
49,40394.78,A,28,0,0.95
43,59865.0,B,47,0,0.82
28,131530.18,A,17,1,0.53
59,123743.05,B,1,1,0.06
70,137813.7,B,16,1,0.67
45,93733.66,D,9,1,0.4
27,82114.9,A,9,1,0.05
65,20810.63,C,31,0,0.86
46,147060.58,D,27,1,0.95
70,121274.68,A,13,0,0.12
66,70459.88,C,43,1,0.6
32,108513.32,A,6,1,0.51
58,145296.32,B,43,0,0.7
67,133604.1,C,2,0,0.12
37,103951.69,C,29,1,0.73
27,114674.94,C,45,1,0.56
61,145210.41,C,25,0,0.45
42,143597.55,D,23,1,0.86
56,135240.98,B,3,0,0.54
60,72193.95,C,28,0,0.3
18,27248.2,A,28,0,0.88
36,63749.82,C,5,1,0.09
47,143077.18,C,10,1,0.7
53,76473.22,C,38,0,0.67
41,112201.5,A,14,1,0.25
60,28952.8,D,28,0,0.84
60,103856.09,B,27,1,0.38
36,129295.42,C,16,0,0.61
49,21447.75,D,19,1,0.8
43,110219.45,C,34,0,0.87
38,105174.01,D,8,0,0.21
32,67473.82,C,17,0,0.74
50,35050.29,C,25,1,0.91
58,24299.22,D,32,0,0.33
37,106166.5,B,18,1,0.52
22,66803.68,B,37,0,0.99
28,128852.23,B,31,1,0.83
58,93617.33,A,21,1,0.22
30,131563.13,A,22,1,0.84
61,120799.88,B,16,0,0.8
50,60756.3,C,20,1,0.03
21,35632.69,D,38,1,0.17
37,48525.72,A,29,1,0.12
70,134535.44,B,38,0,0.86
31,38619.78,A,15,1,0.93
68,20732.68,B,14,1,0.3
41,79558.91,A,49,1,0.07
51,53830.11,D,42,1,0.82
43,110830.84,A,21,0,0.2
28,78270.74,A,37,1,0.48
59,70069.82,C,31,1,0.92
24,70394.27,B,17,0,0.87
23,141072.98,C,46,0,0.07
67,77901.1,D,50,0,0.02
54,111628.42,C,40,1,0.47
50,114722.84,D,46,1,0.71
38,149845.59,C,50,0,0.13
29,50846.84,D,36,0,0.14
33,22717.37,C,38,0,0.64
43,119551.05,A,31,0,0.81
32,147482.73,B,31,1,0.23
52,88593.84,C,7,0,0.68
21,69501.94,B,2,0,0.05
35,40924.29,D,7,1,0.5
62,149198.89,B,35,1,0.15
60,80501.93,B,5,1,0.43
20,117476.02,B,25,1,0.39
65,23840.9,C,48,0,0.09
29,63267.05,B,50,0,0.76
65,94317.81,D,44,1,0.85
19,95888.11,D,13,1,0.01
53,77628.69,A,8,0,0.2
33,52507.16,C,44,1,0.85
44,105254.31,B,48,0,0.37
33,53329.69,C,34,1,0.24
38,100407.13,A,10,1,0.23
53,36925.32,B,12,0,0.74
41,48295.33,C,4,1,0.97
18,112522.23,C,25,0,0.76
27,93375.65,A,11,1,0.25
23,48807.12,D,14,1,0.09
26,69466.86,B,38,0,0.09
23,41959.9,C,2,0,0.27
37,24600.73,B,31,0,0.78
33,68894.46,C,1,1,0.74
36,60959.23,D,28,0,0.66
38,96564.17,B,37,1,0.58
29,108518.51,B,20,1,0.44
69,100698.86,B,14,1,0.69
44,34475.4,B,36,0,0.22
70,21078.42,B,46,1,0.8
19,132015.35,B,6,0,0.07
69,141401.96,A,16,0,0.85
25,107115.66,C,24,0,0.32
