Age,Income,Number_of_Purchases,Target,Customer_Category_B,Customer_Category_C
56,81228,6,0,False,False
69,68984,8,1,False,False
46,60774,9,0,True,False
32,22568,4,0,False,False
60,82592,1,1,False,True
25,87563,1,0,False,True
38,22695,4,1,False,False
56,68190,7,0,False,False
36,25258,2,1,False,True
40,107538,3,1,False,True
28,59504,1,1,True,False
28,53159,5,1,False,True
41,33986,1,0,True,False
53,81858,8,1,True,False
57,32666,1,1,True,False
41,58660,1,1,True,False
20,23561,2,0,True,False
39,46854,2,1,False,False
19,84505,6,0,False,True
41,72251,7,1,True,False
61,42662,5,0,False,True
47,28392,1,0,False,True
55,50535,1,1,True,False
19,98603,3,0,False,False
38,72256,2,1,True,False
50,109135,5,1,False,False
29,55222,6,1,False,True
39,97373,7,0,False,False
61,99575,4,0,False,False
42,116354,7,1,False,False
66,104651,8,1,False,True
44,83335,1,0,False,True
59,30965,6,1,False,False
45,44538,8,1,False,False
33,90592,5,1,True,False
32,118018,4,0,False,False
64,28110,2,0,True,False
68,99309,6,0,False,False
61,47266,6,1,True,False
69,72992,1,1,False,True
20,102948,9,1,False,False
54,118806,6,0,False,False
68,26910,3,1,False,False
24,110982,4,1,False,False
38,20206,4,1,True,False
26,107054,3,1,False,False
56,107897,3,0,False,True
35,43419,3,0,False,True
21,70636,4,1,False,False
42,70015,7,0,False,True
31,74268,4,0,False,False
67,107939,9,1,False,False
26,38141,1,1,False,True
43,100356,8,0,False,False
19,91910,7,1,False,True
37,76044,2,0,True,False
45,87214,8,1,False,False
64,53827,1,0,True,False
24,75820,9,1,False,True
61,82623,9,0,True,False
25,101734,2,0,True,False
64,95450,7,0,False,True
52,113426,3,1,True,False
31,42299,7,0,True,False
34,63585,9,0,False,True
53,84044,4,1,True,False
67,62557,1,1,False,True
57,69080,2,0,True,False
21,22693,1,0,False,True
19,115003,5,1,False,True
23,115259,5,1,True,False
59,89163,7,1,True,False
21,45939,9,1,True,False
46,68925,9,1,False,False
35,62941,3,0,False,False
43,41834,3,1,False,False
61,38047,3,0,False,True
51,46105,4,0,True,False
27,95766,8,0,False,True
53,35707,6,1,False,False
31,41976,8,0,True,False
48,64262,1,0,False,True
65,43776,8,1,True,False
32,50080,4,0,False,True
25,86842,1,0,True,False
31,81373,8,1,False,False
40,26776,4,0,False,False
57,112787,6,0,True,False
38,75016,8,0,False,True
33,29474,4,1,False,False
62,78053,3,1,False,False
35,41959,9,1,False,False
64,25530,3,0,True,False
41,114856,9,0,True,False
43,23748,2,1,False,True
42,117504,2,0,False,True
62,118098,2,0,False,True
58,33545,6,1,True,False
46,86199,3,1,True,False
32,54766,9,0,False,True
